drug_id,drug_name
D00130,Diflunisal; Dolobid
D00131,Disulfiram; Antabuse
D00132,Ketoprofen; Orudis
D00133,Resorcinol; Resorcin; Resorcin
D00134,Albendazole; Albenza
D00135,Capreomycin sulfate; Capastat sulfate
D00136,Haloperidol; Haldol
D00137,Isopropyl alcohol; Isopropanol; Isopro
D00138,Scopolamine; Transderm scop
D00139,Methoxsalen; Oxsoralen; UVADEX
D00140,Erythromycin; Akne-mycin; Eryc; Erygel; Pce; Staticin; T-stat
D00141,Indomethacin; Indometacin; Aconip; Indocin
D00142,Methotrexate; Otrexup; Xatmep
D00143,Pregnenolone
D00144,Pyrazinamide; Pyrazinamide
D00145,Trimethoprim; Proloprim; Trimpex
D00146,Corticotropin; ACTH; Acthar
D00147,Hyoscyamine
D00148,Phytonadione; Phytomenadione; Mephyton; Vitamin K1
D00149,Parachlorophenol; p-Chlorophenol
D00150,Angiotensin II
D00151,Mefenamic acid; Ponstel
D00152,Phloroglucinol; Dilospan S
D00153,Testolactone; Teslac
D00154,Santonin; Santonin
D00155,Pentostatin; Nipent
D00156,Glycyrrhetinic acid; Enoxolone; Hidermart
D00157,Glycyrrhizin; Glycyrrhizic acid
D00158,Tolmetin sodium; Tolmetin sodium dihydrate; Tolectin
D00159,Frentizole
D00160,Aminocaproic acid; Epsilon-Aminocaproic acid; Amicar
D00161,Mercaptopurine; Mercaptopurine hydrate; Purinethol; Purixan
D00162,Aminosalicylic acid; Pamisyl; Paser
D00163,Chenodiol; Chenodeoxycholic acid; Chenix
D00164,Retinol palmitate; Aquasol A
D00165,Hydrocortisone acetate; Cortifoam; U-cort
D00166,Cyanocobalamin; Cyomin; Nascobal; Rubramin PC
D00167,Dimercaprol; BAL
D00168,Cytarabine; ARA-C; Depocyt
D00169,Meclofenamate sodium; Meclofenamate sodium monohydrate; Meclomen
D00170,Hymecromone; Cantabiline
D00171,Inulin
D00172,Eptacog alfa; Eptacog alfa; Coagulation Factor VIIa; Coagulation factor VIIa-jncw; Novo- seven; Sevenfact
D00173,Evodia fruit; Evodia fruit
D00174,gamma-Amino-beta-hydroxybutyric acid
D00175,L-Carbocisteine; Mucodyne
D00176,Protirelin; Relefact TRH
D00177,Methylmethionine sulfonium chloride; L-Methylmethionine sulfonium chloride; Cabagin U
D00178,Octopamine hydrochloride
D00179,Androstenediol; Tetrabol
D00180,Alprostadil; Prostin VR pediatric; Caverject; Edex; Muse
D00181,Argatroban; Argatroban hydrate; Novastan
D00182,Norethindrone; Norethisterone; Camila; Micronor; Primolut-N
D00183,Nalidixic acid; NegGram
D00184,Cyclosporine; Ciclosporin; Gengraf; Neoral; Restasis; Sandimmune
D00185,Estriol; Estriel
D00186,Ciprofloxacin; Cipro; Otiprio
D00187,Ergocalciferol; Vitamin D2; Calciferol; Drisdol
D00188,Cholecalciferol; Colecalciferol; Vitamin D3; Delta-D
D00189,Pregnanediol; Diol
D00190,Rutin hydrate; Rutin trihydrate
D00191,Vitamin B12; Nascobal
D00192,Phenylethyl alcohol
D00193,Dexpanthenol; Panthenol; Ilopan
D00194,d-Limonene; Limonene
D00195,Codeine; Codeine hydrate
D00196,Physostigmine; Eserine
D00197,Reserpine; Apoplon; Serpalan
D00198,Rescinnamine; Tsuruselpi S
D00199,Ajmaline; Ajimalin
D00200,Cianidanol
D00201,Tetracycline; Sumycin
D00202,Nystatin; Mycostatin
D00203,Amphotericin B; Ambisome; Amphotec; Fungizone
D00204,Ampicillin; Anhydrous ampicillin; Omnipen
D00205,Oxytetracycline; Oxytetracycline dihydrate; Terramycin
D00206,Imipenem; Imipenem hydrate
D00208,Mitomycin; Mitomycin C; MMC; Jelmyto; Mitomycin; Muamycin
D00209,Griseofulvin; Gris-peg; Grisactin V
D00210,Norfloxacin; Noroxin
D00211,Rifampin; Rifampicin; Rifadin; Rimactane
D00212,Vancomycin; Vancocin
D00213,Fusidate sodium; Sodium fusidate; Fucidin leo
D00214,Dactinomycin; Actinomycin D; Cosmegen
D00215,Trolamine; Mobisy
D00216,Acarbose; Precose
D00217,Acetaminophen; Paracetamol; Tylenol
D00218,Acetazolamide; Diamox
D00219,Acetohexamide; Dymelor
D00220,Acetohydroxamic acid; Lithostat
D00221,Acetylcysteine; Mucomyst
D00222,Acyclovir; Aciclovir; Sitavig; Zovirax
D00223,Lincomycin; LCM
D00224,Allopurinol; Zyloprim
D00225,Alprazolam; Xanax
D00226,Amifostine; Amifostine hydrate; Ethyol
D00227,Aminophylline; Somophyllin; Theophylline ethylenediamine
D00228,Amoxapine; Asendin
D00229,Amoxicillin; Amoxicillin hydrate; Amoxicilline; Amoxicillin trihydrate; Amoxil; Dispermox; Pasetocin
D00230,Amoxicillin and potassium clavulanate; Amoxicillin and clavulanate potassium
D00231,Inamrinone; Amrinone; Amcoral
D00232,Anisotropine methylbromide; Octatropine methylbromide; Methyloctatropine bromide; Valpin; Valpin 50
D00233,Anthralin; Dithranol; Anthraderm
D00234,Astemizole; Hismanal
D00235,Atenolol; Tenormin
D00236,Atovaquone; Mepron
D00237,Auranofin; Ridaura
D00238,Azathioprine; Azasan; Imuran; Jayempi
D00240,Aztreonam; Azactam
D00241,Baclofen; Kemstro; Lioresal
D00242,Benzonatate; Tessalon perles
D00243,Benzquinamide
D00244,Betamethasone; Celestone; Rinderon
D00245,Bisacodyl; Dulcolax
D00246,Budesonide; Entocort EC; Pulmicort; Rhinocort; Uceris
D00247,Bumetanide; Bumex
D00248,Busulfan; Myleran
D00249,Calcitonin salmon; Salmon calcitonin; Calcimar; Fortical; Miacalcin
D00250,Capsaicin; Zostrix
D00251,Captopril; Apopril; Capoten
D00252,Carbamazepine; Equetro; Tegretol
D00253,Carbidopa hydrate and levodopa; Parcopa; Sinemet
D00254,Carmustine; Bicnu; Gliadel
D00255,Carvedilol; Artist; Coreg
D00256,Cefaclor; Cefaclor anhydrous; Alenfral
D00257,Cefadroxil; Sumacef
D00258,Cefixime
D00259,Ceforanide; Precef
D00260,Cefotetan
D00261,Cefprozil; Cefprozil monohydrate; Cefzil
D00262,Cefuroxime; Cefuroxime
D00263,Cefalexin; Cephalexin; Keflex
D00264,Cephradine; Cefradine; Anspor; Velosef
D00265,Chloral hydrate; Noctec
D00266,Chlorambucil; Leukeran
D00267,Chlordiazepoxide; Libritabs
D00268,Chlormezanone; Trancopal
D00269,Chlorotrianisene; TACE
D00270,Chlorpromazine; Thorazine
D00271,Chlorpropamide; Diabinese
D00272,Chlorthalidone; Chlortalidone; Hygroton; Thalitone
D00273,Cidofovir; Cidofovir dihydrate; Vistide
D00274,Cisapride
D00275,Cisplatin; Platinol
D00276,Clarithromycin; Biaxin
D00277,Clindamycin; Cleocin
D00278,Clofazimine; Lamprene
D00279,Clofibrate; Atromid-S
D00280,Clonazepam; Klonopin
D00281,Clonidine; Catarpres-TTS
D00282,Clotrimazole; Lotrimin; Mycelex
D00283,Clozapine; Clozaril
D00284,Cosyntropin; Tetracosactide; Cortrosyn
D00285,Co-Trimoxazole; Sulfamethoxazole and trimethoprim; Bactrim; Septra
D00286,Cyclandelate; Cyclospasmol
D00287,Cyclophosphamide; Cyclophosphamide hydrate; Cytoxan; Neosar
D00288,Dacarbazine; DTIC-Dome
D00289,Danazol; Danocrine
D00290,Demeclocycline hydrochloride; Demethylchlortetracycline hydrochloride; Declomycin
D00291,Desmopressin
D00292,Dexamethasone; Decadron; Maxidex
D00293,Diazepam; Diastat; Valium
D00294,Diazoxide; Hyperstat; Proglycem
D00295,Cimetidine; Tagamet
D00296,Didanosine; Videx
D00297,Digitoxin; Crystodigin
D00298,Digoxin; Lanoxicaps; Lanoxin
D00299,Dihydrotachysterol; Hytakerol
D00300,Diphenhydramine; Restamin
D00301,Atropine sulfate and diphenoxylate hydrochloride; Diphenoxylate and atropine; Lomotil
D00302,Dipyridamole; Persantine
D00303,Disopyramide; Rythmodan P
D00304,Divalproex sodium; Valproate semisodium; Depakote
D00305,Docusate sodium; Sodium dioctyl sulfosuccinate; Dioctyl sodium sulfosuccinate; Colace
D00306,Dronabinol; Tetrahydrocannabinol; THC; Marinol
D00307,Doxycycline; Doxycycline hydrate; Monodox; Oracea; Vibramycin
D00308,Droperidol; Droleptan; Inapsine
D00309,Metoprine
D00310,Enoxacin; Penetrex
D00311,Estazolam; ProSom
D00312,Estrone sodium sulfate; Sodium estrone sulfate
D00313,Ethacrynic acid; Etacrynic acid
D00314,Etidronate disodium; Didronel
D00315,Etodolac; Lodine
D00316,Etretinate; Tegison
D00317,Famciclovir; Famvir
D00318,Famotidine; Fluxid; Pepcid
D00319,Felodipine; Plendil
D00320,Fentanyl; Duragesic; Subsys
D00321,Finasteride; Propecia; Proscar
D00322,Fluconazole; Diflucan
D00323,Flucytosine; Ancobon
D00324,Flunisolide; Aerospan; Nasalide
D00325,Fluocinonide; Lidex; Vanos
D00326,Fluoxetine; Fluoxetine
D00327,Fluoxymesterone; Androxy; Halotestin
D00328,Flurandrenolide; Fludroxycortide; Cordran
D00329,Flurazepam; Insumin
D00330,Flurbiprofen; Ansaid
D00331,Furosemide; Frusemide; Lasix
D00332,Gabapentin; Neurontin; Gralise
D00333,Ganciclovir; Cytovene; Vitrasert; Zirgan
D00334,Gemfibrozil; Lopid
D00335,Glipizide; Glucotrol
D00336,Glyburide; Glibenclamide; Diabeta; Glynase; Micronase
D00337,Guaifenesin; Hustosil; Robitussin
D00338,Halazepam; Paxipam
D00339,Haloprogin; Halotex
D00340,Hydrochlorothiazide; Esidrix; Microzide
D00341,Hydroxyurea; Hydroxycarbamide; Droxia; Hydrea; Siklos
D00342,Idoxuridine; Dendrid; Herplex
D00343,Ifosfamide; Ifex
D00344,Imipenem and cilastatin sodium; Primaxin
D00345,Indapamide; Lozol; Natrix
D00346,Isoniazid; Laniazid
D00347,Isosorbide; Ismotic; Isobide
D00348,Isotretinoin; Absorica; Accutane; Sotret
D00349,Isradipine; Dynacirc
D00350,Itraconazole; Itrizole; Sporanox
D00351,Ketoconazole; Nizoral; Xolegel
D00352,Lactulose; Cephulac; Chronulac
D00353,Lamivudine; Epivir
D00354,Lamotrigine; Lamictal
D00355,Lansoprazole; Prevacid
D00356,Latanoprost; Xalatan
D00357,Losartan potassium; Cozaar
D00358,Lidocaine; Dentipatch; Xylocaine
D00359,Lovastatin; MK-803; ML-530B; Mevacor
D00360,Lindane; Kwell
D00361,Liotrix; Levothyroxine sodium and liothyronine sodium; Thyrolar
D00362,Lisinopril; Lisinopril hydrate; Lisinopril dihydrate; Prinivil; Zestril
D00363,Lomustine; Gleostine
D00364,Loratadine; Claritin
D00365,Lorazepam; Ativan
D00366,Lypressin; Diapid
D00367,Mazindol; Sanorex
D00368,Mebendazole; Vermox
D00369,Melphalan; Alkeran
D00370,Temazepam; Restoril
D00371,Theophylline; Elixophyllin; Quibron-t; Theo-24; Theodur G; Theolair; Uniphyl
D00372,Thiabendazole; Tiabendazole; Mintezol
D00373,Thioridazine; Mellaril-S
D00374,Thiothixene; Tiotixene; Navane
D00375,Mephenytoin; Mesantoin
D00376,Meprobamate; Equanil; Miltown
D00377,Mesalamine; Mesalazine; Apriso; Asacol; Canasa; Delzicol; Lialda; Mesalamine; Pentasa; Rowasa; Sfrowasa
D00378,Timolol; Timolol hemihydrate; Betimol
D00379,Tolazamide; Tolinase
D00380,Tolbutamide; Orinase
D00381,Tolnaftate; Separin; Tinactin
D00382,Torsemide; Torasemide; Demadex; Luprac
D00383,Trandolapril; Mavik
D00384,Triacetin; Enzactin
D00385,Triamcinolone; Aristocort; Kenacort
D00386,Triamterene; Dyrenium
D00387,Triazolam; Halcion
D00388,Triclofos sodium; Tricloryl
D00389,Metandienone; Methandrostenolone; Dianabol
D00390,Triflupromazine; Vesprin
D00391,Trifluridine; Viroptic
D00392,Trimethadione; Tridione
D00393,Methenamine; Hexamine; Hexamine
D00394,Trimipramine
D00395,Troglitazone; Rezulin
D00396,Tromethamine; Trometamol; THAM
D00397,Tropicamide; Mydriacyl
D00398,Valacyclovir hydrochloride; Valaciclovir hydrochloride; Valtrex
D00399,Valproic acid; Depakene
D00400,Valsartan; Diovan
D00401,Methimazole; Thiamazole; Tapazole
D00402,Methocarbamol; Delaxin; Robaxin
D00403,Methotrimeprazine; Levomepromazine; Levoprome
D00404,Methsuximide; Mesuximide; Celontin
D00405,Methyldopa; Methyldopa hydrate; Aldomet
D00406,Vidarabine; Vidarabine monohydrate; Vira-A
D00407,Methylprednisolone; Medrol
D00408,Methyltestosterone; Android; Testred
D00409,Metronidazole; Flagyl; Noritate; Nuvessa; Vandazole
D00410,Metyrapone; Metopirone
D00411,Zafirlukast; Accolate
D00412,Zalcitabine; Hivid
D00413,Zidovudine; Azidothymidine; Retrovir
D00414,Zileuton; Zyflo
D00415,Zolmitriptan; Zomig
D00416,Miconazole; Monistat; Oravig
D00417,Milrinone; Milrila
D00418,Minoxidil; Loniten; Riup; Rogaine
D00419,Misoprostol; Cytotec
D00420,Mitotane; Lysodren
D00421,Ramipril; Altace
D00422,Ranitidine; Ranitidine
D00423,Ribavirin; Copegus; Rebetol; Ribasphere; Virazole
D00424,Rifabutin; Mycobutin
D00425,Nabumetone; Relafen
D00426,Risperidone; Risperdal
D00427,Ritonavir; Norvir
D00428,Salsalate; Sasapyrine; Disalcid
D00429,Saquinavir; Fortovase
D00430,Secobarbital; Seconal
D00431,Metolazone; Zaroxolyn
D00432,Nadolol; Corgard
D00433,"Sulfadiazine, silver; Sulfadiazine silver; Silvadene"
D00434,Simvastatin; MK-733; Zocor
D00435,Nevirapine; Viramune
D00436,Niclosamide; Niclocide
D00437,Nifedipine; Adalat; Afeditab CR; Procardia
D00438,Nimodipine; Nimotop; Nymalize
D00439,Nitrofurantoin; Furadantin; Macrobid
D00440,Nizatidine; Acinon; Axid
D00441,Octabenzone
D00442,Octreotide
D00443,Spironolactone; Aldactone
D00444,Stanozolol; Winstrol
D00445,Stavudine; Sanilvudine; Zerit
D00446,Sucralfate; Sucralfate hydrate; Carafate
D00447,Sulfamethoxazole; Gantanol
D00448,Sulfasalazine; Salazosulfapyridine; Azulfidine
D00449,Sulfinpyrazone; Anturane
D00450,Sulfisoxazole; Sulfafurazole; Gantrisin
D00451,Sumatriptan; Imigran; Imitrex
D00452,Suprofen; Profenal
D00453,Ofloxacin; Floxin
D00454,Olanzapine; Zyprexa
D00455,Omeprazole; Prilosec
D00456,Ondansetron; Zofran ODT
D00457,Quazepam; Doral
D00458,Quetiapine fumarate; Seroquel
D00459,Quinapril hydrochloride; Accupril
D00460,Oxamniquine; Mansil; Vansil
D00461,Quinethazone; Hydromox
D00462,Oxandrolone; Oxandrin
D00463,Oxaprozin; Daypro
D00464,Oxazepam; Serax
D00465,Oxybutynin; Anturol; Oxytrol
D00466,Piperacillin sodium; Pentcillin; Pipracil
D00467,Pipobroman; Vercyte
D00468,Plicamycin; Mithracin
D00469,Pralidoxime chloride; Pralidoxime; Protopam
D00470,Prazepam; Centrax
D00471,Praziquantel; Biltricide
D00472,Prednisolone; Delta-cortef
D00473,Prednisone; Prednisone monohydrate; Deltasone; Meticorten; Rayos
D00474,Primidone; Mysoline
D00475,Probenecid; Benemid
D00476,Probucol; Lorelco
D00477,Procainamide hydrochloride; Procan SR; Procanbid; Pronestyl
D00478,Procarbazine hydrochloride; Matulane
D00479,Prochlorperazine maleate; Compazine
D00480,Promethazine hydrochloride; Phenergan; Promethegan
D00481,Propantheline bromide; Pro-banthine
D00482,Propoxyphene hydrochloride; Dextropropoxyphene hydrochloride; Darvon
D00483,Propranolol hydrochloride; Inderal; Innopran XL
D00484,Protriptyline hydrochloride; Vivactil
D00485,Pseudoephedrine hydrochloride; Sudafed
D00486,Pyrantel pamoate; Antiminth
D00487,Pyridostigmine bromide; Mestinon
D00488,Pyrimethamine; Daraprim
D00489,Pyrvinium pamoate; Povan
D00490,Oxymetholone; Anadrol-50
D00491,Paclitaxel; Abraxane; Taxol
D00492,Pancuronium bromide; Pavulon
D00493,Prochlorperazine; Compro
D00494,Promethazine
D00495,Paramethadione; Paradione
D00496,Penicillamine; Cuprimine; Depen
D00497,Penicillin V potassium; Phenoxymethylpenicillin potassium; Veetids
D00498,Pentazocine; Fortral
D00499,Pentobarbital; Nembutal
D00500,Pentobarbital sodium; Nembutal sodium
D00501,Pentoxifylline; Pentoxil; Trental
D00502,Pergolide mesylate; Pergolide mesilate; Permax
D00503,Perphenazine; Trilafon
D00504,Phenacemide; Phenurone
D00505,Phenelzine sulfate; Nardil
D00506,Phenobarbital; Luminal
D00507,Phenoxybenzamine hydrochloride; Dibenzyline
D00508,Phensuximide; Milontin
D00509,Phentolamine mesylate; Phentolamine mesilate; Regitine
D00510,Phenylbutazone; Azolid
D00511,Phenylephrine hydrochloride; Neo-synephrine
D00512,Phenytoin; Dilantin
D00513,Pindolol; Blocklin-L; Carvisken; Visken
D00514,Dexmedetomidine; Dexdor; Precedex
D00515,Nitroglycerin; Glyceryl trinitrate; Minitran; Nitro-bid; Nitro-dur; Nitromist; Transderm-nitro
D00516,Isosorbide dinitrate; Dilatrate-sr; Isordil
D00517,Amyl nitrite; Aspiral; Vaporole
D00518,Dichlorphenamide; Diclofenamide; Daranide; Keveyis
D00519,Chlorothiazide; Diuril
D00520,Dimenhydrinate; Dramamine
D00521,Terfenadine; Seldane
D00522,Candesartan
D00523,Irbesartan; Avapro
D00524,Carbachol; Miostat
D00525,Pilocarpine; Ocusert pilo-20
D00526,Cromolyn sodium; Sodium cromoglicate; Gastrocrom; Intal
D00527,Nedocromil sodium; Alocril; Tilade
D00528,Caffeine; Anhydrous caffeine; Anhydrous caffeine; Respia
D00529,Montelukast sodium; Singulair
D00530,Zaleplon; Sonata
D00531,Nitrazepam; Benzalin; Nitrazepam
D00532,Glutethimide; Doriden
D00533,Oxcarbazepine; Oxtellar; Trileptal
D00534,Malathion; Ovide
D00535,Vigabatrin; Sabril
D00536,Felbamate; Felbatol
D00537,Topiramate; Topamax; Trokendi xr
D00538,Zonisamide; Excegran
D00539,Ethosuximide; Zarontin
D00540,Glycopyrrolate; Glycopyrronium bromide; Cuvposa; Robinul; Seebri breezhaler
D00541,Hycanthone
D00542,Halothane; Fluothane
D00543,Enflurane; Ethrane
D00544,Methoxyflurane; Penthrane
D00545,Isoflurane; Forane
D00546,Desflurane; Suprane
D00547,Sevoflurane; Ultane
D00548,Etomidate; Amidate
D00549,Propofol; Diprivan
D00550,Midazolam; Dormicum; Buccolam; Nayzilam
D00551,Tetracaine; Amethocaine; Amethocaine
D00552,Benzocaine; Ethyl aminobenzoate; Parathesin
D00553,Prilocaine; Propitocaine
D00554,Ethinyl estradiol; Ethinylestradiol; Estinyl
D00555,Amobarbital; Isomytal
D00556,Aminopyrine; Aminophenazone
D00557,Methaqualone
D00558,Carbidopa; Carbidopa hydrate; Lodosyn
D00559,Pramipexole dihydrochloride; Pramipexole hydrochloride hydrate; Pramipexole dihydrochloride monohydrate; Mirapex
D00560,Pimozide; Orap
D00561,Sertindole; SerLect
D00562,Propylthiouracil; Propylthiouracil
D00563,Mirtazapine; Remeron; Reflex
D00564,Warfarin sodium; Coumadin; Jantoven
D00565,Fenofibrate; Antara; Lipantil; Lipofen; Tricor; Triglide
D00566,Sodium salicylate; Salsonin
D00567,Celecoxib; Celebrex; Onsenal
D00568,Rofecoxib; Vioxx
D00569,Phenacetin
D00570,Colchicine; Colchicine
D00571,Edetate calcium disodium anhydrous; Calcium disodium versenate
D00572,Succimer; meso-Dimercaptosuccinic acid; Chemet
D00573,Goserelin acetate; Zoladex
D00574,Aminoglutethimide; Cytadren
D00575,Mestranol
D00576,Quinestrol; Estrovis
D00577,Diethylstilbestrol; Stilbestrol
D00578,Voriconazole; Vfend
D00579,Foscarnet sodium; Foscavir
D00580,Sulfadoxine
D00581,Iodoquinol; Diiodohydroxyquinoline; Yodoxin
D00582,Sodium stibogluconate; Pentostam
D00583,Thiotepa; Thioplex; Tepadina; Rethio
D00584,Fluorouracil; 5-FU; Adrucil; Carac; Fluoroplex
D00585,Mifepristone; Korlym; Mifeprex
D00586,Flutamide; Eulexin
D00587,Sulfadiazine; Sulfapyrimidine; Sulfadiazine
D00588,Levofloxacin; Levofloxacin hydrate; Levofloxacin hemihydrate; Iquix; Levaquin; Quixin
D00589,Gatifloxacin; Gatifloxacin hydrate; GFLX; Gatiflo; Tequin; Zymar; Zymaxid
D00590,Sparfloxacin; Zagam
D00591,Ethionamide; Trecator
D00592,Dapsone; Diaphenylsulfone; Aczone
D00593,Glimepiride; Amaryl
D00594,Repaglinide; Prandin; Surepost
D00595,Buformin
D00596,Rosiglitazone maleate; Avandia
D00597,Acebutolol hydrochloride; Sectral
D00598,Betaxolol hydrochloride; Betoptic; Kerlone
D00599,Carteolol hydrochloride; Cartrol; Ocupress
D00600,Labetalol hydrochloride; Normodyne; Trandate
D00601,Metoprolol tartrate; Lopressor
D00602,Penbutolol sulfate; Levatol
D00603,Timolol maleate; Blocadren; Istalol; Timoptic
D00604,Clonidine hydrochloride; Nexiclon; Kapvay; Duraclon; Catapres
D00605,Guanabenz acetate; Wytensin
D00606,Guanfacine hydrochloride; Intuniv; Tenex
D00607,Guanadrel sulfate; Hylorel
D00608,Doxazosin mesylate; Doxazosin mesilate; Cardura
D00609,Prazosin hydrochloride; Minipress
D00610,Terazosin hydrochloride; Terazosin hydrochloride hydrate; Hytrin
D00611,Mecamylamine hydrochloride; Inversine
D00612,Trimetaphan camsilate; Trimetaphan camsylate; Arfonad
D00613,Fenoldopam mesylate; Corlopam
D00614,Sodium nitroprusside; Sodium nitroprusside hydrate; Nitropress
D00615,Amlodipine besylate; Amlodipine besilate; Norvasc
